barcode,manifest_sno,freezer_no,normalized_barcode
ET-AM-BD-BD-AAH-54,357.0,,et-am-bd-bd-aah-54
ET-AM-BD-BD-AAH-47,358.0,,et-am-bd-bd-aah-47
ET-AM-BD-BD-AAH-42,359.0,,et-am-bd-bd-aah-42
ET-AM-BD-BD-AAH-45,360.0,,et-am-bd-bd-aah-45
ET-AM-BD-BD-AAH-63,361.0,,et-am-bd-bd-aah-63
ET-AM-BD-BD-AAH-58,362.0,,et-am-bd-bd-aah-58
ET-AM-BD-BD-AAH-49,363.0,,et-am-bd-bd-aah-49
ET-AM-BD-BD-AAH-57,364.0,,et-am-bd-bd-aah-57
ET-GA-AN-GA-GH-36,365.0,,et-ga-an-ga-gh-36
ET-OR-ES-AD-AH-007,366.0,,et-or-es-ad-ah-007
ET-OR-ES-AD-AH-007,367.0,,et-or-es-ad-ah-007
ET-GA-AN-GA-GH-27,368.0,,et-ga-an-ga-gh-27
ET-GA-AN-GA-GH-34,369.0,,et-ga-an-ga-gh-34
ET-GA-AN-GA-GH-29,370.0,,et-ga-an-ga-gh-29
ET-GA-AN-GA-GH-44,371.0,,et-ga-an-ga-gh-44
ET-SN-GG-AM-AH-5,372.0,,et-sn-gg-am-ah-5
ET-SN-GG-AM-AH-31,373.0,,et-sn-gg-am-ah-31
ET-GA-AN-GA-GH-29,374.0,,et-ga-an-ga-gh-29
ET-OR-ES-AD-AH-017,375.0,,et-or-es-ad-ah-017
ET-GA-AN-GA-GH-28,376.0,,et-ga-an-ga-gh-28
ET-GA-AN-GA-GH-27,377.0,,et-ga-an-ga-gh-27
ET-SN-GG-AM-AH-8,378.0,,et-sn-gg-am-ah-8
ET-SN-GG-AM-AH-13,379.0,,et-sn-gg-am-ah-13
ET-GA-AN-GA-GH-30,380.0,,et-ga-an-ga-gh-30
ET-SN-GG-AM-AH-1,381.0,,et-sn-gg-am-ah-1
ET-GA-AN-GA-GH-61,382.0,,et-ga-an-ga-gh-61
ET-SN-GG-AM-AH-2,383.0,,et-sn-gg-am-ah-2
ET-GA-AN-GA-GH-38,384.0,,et-ga-an-ga-gh-38
ET-SN-WO-SO-SH-54,385.0,,et-sn-wo-so-sh-54
ET-SN-WO-SO-SH-81,386.0,,et-sn-wo-so-sh-81
ET-SN-WO-SO-SH-64,387.0,,et-sn-wo-so-sh-64
ET-SN-WO-SO-SH-64,388.0,,et-sn-wo-so-sh-64
